Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
I1,2002-11-16,Roma,Inter,2.0,2.0,D,0.0,0.0,D,2.375,2.875,2.8,2.35,2.9,3.0,2.3,2.8,2.9,2.38,2.88,2.8,2.3,3.0,2.9,2.3,3.0,3.0,2.3,2.9,2.9,1.83,1.8,1.83,1.83
I1,2002-11-17,Atalanta,Brescia,2.0,0.0,H,0.0,0.0,D,2.2,3.0,3.0,2.3,2.95,3.15,2.2,2.9,3.0,2.2,3.2,2.8,2.25,3.0,3.0,2.25,3.0,3.1,2.2,2.87,3.1,1.72,1.9,1.9,1.8
I1,2002-11-17,Como,Lazio,1.0,3.0,A,1.0,1.0,D,3.5,3.2,1.909,3.75,3.15,2.0,3.1,3.0,2.1,4.0,3.2,1.8,3.75,3.2,1.83,3.75,3.2,1.909,3.6,3.1,1.9,1.9,1.7,1.9,1.8
I1,2002-11-17,Empoli,Reggina,4.0,2.0,H,2.0,1.0,H,1.8,3.0,4.2,1.8,3.1,4.45,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.1,4.33,1.8,3.1,4.333,1.72,3.1,4.5,1.9,1.7,1.9,1.8
I1,2002-11-17,Milan,Parma,2.0,1.0,H,0.0,0.0,D,1.533,3.4,5.5,1.55,3.45,6.0,1.6,3.2,5.0,1.5,3.4,6.0,1.53,3.4,6.0,1.533,3.5,6.0,1.53,3.4,5.5,1.7,1.9,1.8,1.9
I1,2002-11-17,Modena,Piacenza,1.0,0.0,H,1.0,0.0,H,1.909,3.0,3.75,2.1,3.1,3.6,1.9,3.0,3.6,1.8,3.2,4.0,1.91,3.0,4.0,1.909,3.0,4.0,1.8,3.1,4.0,1.9,1.7,1.9,1.8
I1,2002-11-17,Torino,Juventus,0.0,4.0,A,0.0,2.0,A,5.0,3.25,1.615,5.25,3.25,1.7,4.4,3.1,1.7,5.0,3.25,1.62,5.0,3.25,1.67,5.0,3.25,1.667,5.0,3.1,1.66,1.8,1.8,2.0,1.72
I1,2002-11-17,Udinese,Chievo,2.0,1.0,H,2.0,0.0,H,2.25,3.0,2.875,2.3,2.95,3.15,2.2,2.8,3.1,2.2,3.2,2.8,2.25,3.2,2.75,2.25,3.2,2.875,2.25,3.0,2.87,1.85,1.76,2.0,1.72
I1,2002-11-23,Juventus,Bologna,1.0,1.0,D,0.0,0.0,D,1.444,3.5,7.0,1.5,3.58,7.45,1.45,3.6,5.8,1.4,3.75,7.0,1.44,3.6,7.0,1.444,3.6,7.0,1.4,3.5,8.0,1.85,1.85,1.9,1.8
I1,2002-11-23,Milan,Inter,1.0,0.0,H,1.0,0.0,H,2.625,2.75,2.625,2.55,2.9,2.75,2.6,2.8,2.6,2.5,2.88,2.62,2.5,2.88,2.75,2.5,2.875,2.75,2.6,2.8,2.6,1.77,1.85,1.8,1.9
